"","logFC","logCPM","PValue","FDR"
"YHR215W",-4.73428703981388,7.50380512415577,0,0
"YML123C",-4.66857363090344,9.00602975989957,0,0
"YGR234W",-3.96281554313973,7.89747259061504,0,0
"YER011W",-3.91599062753786,6.90810844530676,0,0
"YER081W",3.35154598055338,9.26477364238508,0,0
"YDR077W",-3.34206244604084,11.4837239824786,0,0
"YMR120C",-3.27622773832253,8.25049668653307,0,0
"YDR033W",-3.17379666150261,8.30125256211741,0,0
"YIL169C",-2.958176624595,7.46313200980598,0,0
"YDR342C",-2.95460534279919,11.0703845646144,0,0
"YFR015C",-2.83648121490351,9.24276346434414,0,0
"YLR058C",-2.65934440574085,8.93811428959114,0,0
"YCL030C",-2.40365904526356,8.76850270084753,0,0
"YPR160W",-2.25385867077918,8.23426447039923,0,0
"YBR067C",-2.24862048719512,8.22863274086808,0,0
"YOR153W",-2.0820420108618,9.27972589788398,0,0
"YHR092C",-2.01343792135134,9.84483010614152,0,0
"YDR365W-B",-1.99846809000704,10.0312085400819,0,0
"YER067W",-1.98170142572669,8.73582119719575,0,0
"YLR258W",-1.96433817144566,8.72005838836976,0,0
"YFR053C",-1.49760830277753,10.2055827882994,0,0
"YLL026W",-1.4263905047076,9.62672218621394,0,0
"R0010W",1.14322696674641,10.2299264346957,0,0
"R0020C",1.12168647219731,10.1686544125484,0,0
"YAL005C",-1.10863270632489,10.4357691148609,0,0
"YHR174W",-1.0765019134192,13.980615482128,0,0
"YJL052W",-1.04573055188318,10.4206905280344,0,0
"YPL061W",-1.04053730309478,10.7209481957561,0,0
"YAL038W",-1.00232773727782,13.2423120027266,0,0
"YOR383C",0.743878400175569,11.4148187773667,0,0
"YDL229W",-0.691402683646631,11.3358363513509,0,0
"YGR192C",-0.646273491730671,14.7485208399083,0,0
"YOL086C",-0.582006881416738,14.2622871908928,0,0
"YJL159W",-0.555610682292149,12.127053847638,0,0
"YLR044C",-0.543851453277939,13.6382240679697,0,0
"R0040C",1.24758725369488,10.0086786743956,2.82299035333122e-310,4.63989831129468e-308
"YOL109W",-2.23905643712504,7.86012983007172,1.73440789288453e-306,2.77364635194534e-304
"YKR080W",-3.22681660637437,7.58521964817151,6.56419605859837e-306,1.02211442312438e-303
"YKR075C",1.32011103127216,9.42549091299697,4.33192114423454e-299,6.57230190011173e-297
"YLR154W-C",-0.931436849710229,10.1637744178783,9.26300854013082e-299,1.37023053829885e-296
"YEL071W",1.56089005849265,8.9642093907443,7.79856961182005e-292,1.12546674129608e-289
"YGL008C",-0.634187624696773,11.2768882639493,3.17885201147152e-288,4.47839698854214e-286
"YOR374W",0.865099869775775,10.4994602345577,3.58734437600761e-287,4.93635271461326e-285
"YLR327C",-1.94119246746955,8.18313384624316,2.38102231177797e-280,3.20193386790687e-278
"YOL155C",-2.03955415222458,8.01182949401679,1.28416050796947e-278,1.68852838347897e-276
"YGL234W",-1.3884653517966,8.84014466885674,9.8721669350906e-270,1.2698611251072e-267
"YOR128C",-1.95508542260489,7.98307883299183,1.88901582430135e-264,2.37815034731726e-262
"YAR009C",-2.82711101957416,8.89757831289496,5.41389590403467e-261,6.67375459670273e-259
"YCL025C",-2.06650257867281,7.77766418619155,2.34248323602053e-255,2.8286680219456e-253
"YEL040W",-1.37656504261768,8.76495026930738,4.48029747936003e-253,5.30198403707466e-251
"YCR005C",2.4321313156239,8.00211280982935,4.13038891970467e-248,4.79206102703775e-246
"YBR010W",1.33668131128709,9.12587309196557,5.56858115090985e-248,6.33640282114108e-246
"YPR036W-A",1.38064583126314,9.03576244836974,1.77085205531583e-247,1.97700596439694e-245
